,commune,n_edges,n_vertices,is_commune_littorale,n_g1,n_g2,n_g3,n_g4,n_g5,n_g6,n_g7,n_g8,n_g9,n_g10,n_g11,n_g12,n_g13,n_g14,n_g15,n_g16,n_g17,n_g18,n_g19,n_g20,n_g21,n_g22,n_g23,n_g24,n_g25,n_g26,n_g27,n_g28,n_g29
74,Annecy,5934,4396,0,9906,563,2604,16066,1889,276,44,0,139,12140,25584,147,2030,3245,1086,136,61,90,75,0,139,0,0,10,1,0,0,0,0
75,Paris,15306,9769,0,32790,842,13948,65580,3634,1676,54,0,2084,76760,128027,1154,4873,7313,9170,1160,108,153,104,0,418,0,0,6,1,0,0,0,0
76,Rouen,3217,2252,1,6327,148,2459,11714,584,277,5,0,308,12683,21326,152,712,1048,1444,181,9,11,19,0,58,0,0,0,0,0,0,0,0
77,Melun,962,659,0,1838,64,639,3327,241,80,2,0,68,3268,5914,48,287,425,362,61,3,5,9,0,21,0,0,0,0,0,0,0,0
78,Versailles,1597,1087,0,3148,104,1194,5767,386,179,15,0,139,5907,10476,85,457,709,947,76,18,32,11,0,43,0,0,3,0,0,1,0,0
79,Niort,4817,3598,0,8167,338,2412,13689,1072,194,15,0,176,11902,22234,76,1105,1953,803,138,16,33,16,0,55,0,0,2,0,0,0,0,0
80,Amiens,4155,3047,1,7508,248,2520,13148,831,240,17,0,231,12716,22651,124,896,1559,1138,172,19,42,6,0,54,0,0,4,0,0,0,0,0
81,Albi,3171,2466,0,5379,197,1643,8926,645,114,6,0,108,8089,14494,61,678,1158,466,76,7,15,10,0,35,0,0,0,0,0,0,0,0
82,Montauban,3901,2914,0,6805,239,2127,11554,767,206,8,0,161,10442,19212,57,787,1397,912,116,5,15,11,0,52,0,0,0,0,0,1,0,0
83,Toulon,5171,3885,1,9542,246,3399,16491,911,346,13,0,311,16372,27814,168,1057,1605,1649,204,19,29,29,0,91,0,0,2,0,0,0,0,0
84,Avignon,5731,4289,0,9975,386,3037,16706,1360,295,13,0,196,14470,27396,186,1536,2450,1279,166,28,29,47,0,88,0,0,0,0,0,0,0,0
85,La Roche-sur-Yon,4193,3107,1,7120,349,2088,11943,1152,204,23,0,169,10260,19548,96,1211,2019,915,123,34,60,31,0,95,0,0,15,0,0,0,0,0
86,Poitiers,4360,3225,0,7669,316,2418,13096,1108,244,25,0,192,11854,21933,158,1268,2021,1114,141,36,56,29,0,93,0,0,5,0,0,0,0,0
87,Limoges,6625,4803,0,11824,482,3740,20558,1689,373,24,0,309,18691,34934,242,1912,3199,1719,275,37,61,33,1,114,0,0,3,0,0,0,0,0
88,Épinal,1894,1431,0,3237,132,1002,5368,437,97,6,0,78,4737,8687,58,467,827,434,58,13,15,5,0,25,0,0,0,1,0,0,0,0
89,Auxerre,2119,1557,0,3874,113,1323,6897,389,106,7,0,115,6866,11955,58,433,728,492,94,13,15,4,0,25,0,0,2,0,0,0,0,0
90,Belfort,1543,1088,0,3023,59,1170,5539,218,142,4,0,133,5953,9863,38,247,401,705,101,7,12,7,0,26,0,0,0,0,0,0,0,0
91,Évry,955,739,0,1624,64,527,2692,206,45,6,0,47,2570,4299,29,211,382,190,28,8,12,1,0,21,0,0,0,0,0,0,0,0
92,Nanterre,1550,1097,0,2933,88,1050,5335,307,109,6,0,109,5457,9456,58,340,595,515,80,6,14,4,0,30,0,0,1,0,0,0,0,0
93,Bobigny,894,628,0,1670,46,553,2920,159,74,4,0,43,2662,5049,25,188,290,329,43,3,7,8,0,11,0,0,0,0,0,0,0,0
94,Créteil,1457,1022,0,2726,92,956,4930,324,100,8,0,94,4945,8834,77,369,566,467,59,8,17,6,1,36,0,0,0,0,0,0,0,0
95,Pontoise,764,552,0,1382,59,430,2348,234,50,6,0,25,2065,3910,52,278,371,197,42,8,17,16,0,29,0,0,1,0,0,0,0,0
96,Basse-Terre,798,604,1,1394,53,446,2328,175,52,0,0,40,2107,3821,17,175,317,250,20,0,0,2,0,17,0,0,0,0,0,0,0,0
97,Fort-de-France,3635,2777,1,6481,185,2179,10975,591,245,10,0,170,10401,18306,56,601,1040,1239,123,9,20,3,0,47,0,0,2,0,0,0,0,0
98,Cayenne,2080,1543,1,3831,111,1407,6732,370,182,7,0,161,6865,11804,34,398,653,1054,75,9,14,7,0,28,0,0,1,1,0,0,0,0
99,Saint-Denis,4702,3716,1,8322,186,2893,14117,619,237,4,0,228,14098,23556,63,674,1166,1219,142,2,8,9,0,34,0,0,0,0,0,0,0,0
